ID,Fault_Type,Phase,RMS_Voltage,Peak_Voltage,THD,Duration_ms,DWT_Energy_Level1,DWT_Energy_Level2,DWT_Entropy,Signal_Noise_Ratio_dB,Label
1,Transient,C,224.44,406.38,5.42,159,15.08,37.49,4.75,20.02,3
2,Transient,B,235.05,388.57,3.61,262,48.88,18.11,3.45,22.79,3
3,Transient,A,231.11,384.64,5.21,140,87.39,35.61,2.8,20.27,3
4,Normal,C,229.83,325.02,1.7,273,13.09,45.92,2.04,33.25,0
5,Sag,B,147.08,208.01,1.62,200,85.81,25.24,2.58,38.53,1
6,Transient,A,228.23,397.69,4.55,62,62.81,48.44,3.43,25.52,3
7,Harmonics,C,232.91,329.39,12.66,298,64.54,46.68,3.6,38.3,4
8,Normal,C,222.46,314.6,2.55,71,39.27,37.83,3.55,37.74,0
9,Normal,C,231.63,327.58,1.96,266,74.96,15.62,2.02,20.81,0
10,Sag,A,150.87,213.36,2.7,105,72.6,11.27,3.42,30.8,1
11,Harmonics,B,225.96,319.55,8.49,179,82.73,33.5,4.49,36.07,4
12,Transient,A,234.81,395.81,3.84,240,91.61,17.25,3.59,20.01,3
13,Harmonics,A,228.2,322.73,2.03,234,20.79,20.19,4.77,26.46,4
14,Normal,B,231.73,327.71,1.67,61,32.22,36.33,3.85,22.96,0
15,Normal,A,229.27,324.23,1.78,135,23.04,27.03,4.94,24.84,0
16,Transient,A,229.58,395.71,3.97,264,82.28,26.16,4.93,27.98,3
17,Normal,A,230.14,325.47,1.4,268,63.18,35.49,1.07,30.24,0
18,Swell,A,262.8,371.65,3.23,137,56.6,42.7,3.7,34.7,2
19,Sag,B,158.14,223.64,1.77,121,59.97,28.83,1.97,21.86,1
20,Transient,C,235.0,403.05,4.1,217,90.74,44.92,4.12,32.84,3
21,Swell,B,261.53,369.86,4.35,108,97.63,17.78,2.22,29.71,2
22,Swell,A,287.89,407.13,2.31,77,31.35,19.64,3.99,32.99,2
23,Swell,C,276.57,391.12,4.32,31,31.96,48.79,2.57,37.84,2
24,Swell,A,288.97,408.66,1.56,293,70.2,43.89,1.92,29.98,2
25,Transient,A,225.76,400.84,4.79,181,94.64,47.93,4.66,27.4,3
26,Normal,B,229.36,324.37,2.17,190,61.51,49.11,1.3,26.11,0
27,Normal,A,225.37,318.72,1.74,232,85.98,46.85,1.28,24.18,0
28,Sag,B,141.45,200.04,1.97,282,86.38,11.15,3.84,31.06,1
29,Sag,A,155.15,219.42,3.51,22,17.34,5.23,3.51,23.89,1
30,Transient,B,222.2,440.01,3.2,72,98.37,42.75,4.44,25.01,3
31,Sag,A,162.01,229.12,2.53,273,79.3,14.71,3.49,21.71,1
32,Harmonics,C,235.44,332.97,8.88,153,97.83,28.23,2.29,35.9,4
33,Swell,A,257.09,363.58,2.71,126,17.28,24.27,3.75,21.16,2
34,Sag,B,148.85,210.51,2.53,127,74.31,34.71,2.12,39.1,1
35,Harmonics,B,226.73,320.65,6.02,153,24.28,10.41,2.37,21.84,4
36,Normal,A,239.22,338.31,2.35,263,49.05,22.93,3.46,32.7,0
37,Sag,A,156.0,220.62,3.0,13,65.43,47.48,4.78,37.34,1
38,Swell,C,277.56,392.53,4.11,42,51.24,29.55,4.77,27.72,2
39,Normal,A,235.16,332.57,1.43,21,19.07,5.82,1.38,33.66,0
40,Normal,B,232.96,329.45,1.42,99,40.66,16.73,2.98,33.86,0
41,Sag,A,165.7,234.34,3.9,286,97.08,29.66,2.69,31.37,1
42,Swell,B,273.07,386.18,3.48,105,40.67,46.88,4.43,28.58,2
43,Harmonics,B,230.59,326.1,7.41,282,58.09,27.35,2.56,25.95,4
44,Swell,C,277.91,393.02,3.82,153,50.36,18.19,2.31,33.45,2
45,Transient,C,229.35,436.27,5.61,85,71.92,42.66,4.47,36.77,3
46,Harmonics,C,227.47,321.7,5.93,131,23.19,28.1,1.93,31.63,4
47,Harmonics,C,235.77,333.43,8.57,226,63.27,20.76,3.83,29.63,4
48,Transient,B,219.81,431.4,4.55,67,76.69,39.52,4.29,34.88,3
49,Swell,C,269.95,381.77,3.99,126,96.69,5.55,4.88,20.86,2
50,Harmonics,C,230.44,325.9,9.5,29,16.79,12.48,1.87,25.89,4
51,Normal,C,231.43,327.29,2.6,21,96.28,7.6,2.58,22.14,0
52,Harmonics,B,239.08,338.11,7.48,145,41.8,31.26,1.31,39.49,4
53,Swell,A,264.01,373.36,3.84,221,64.25,17.19,1.53,21.52,2
54,Sag,A,168.76,238.67,4.68,19,93.95,43.97,1.18,20.53,1
55,Normal,C,221.35,313.03,1.95,186,43.91,38.73,2.57,36.58,0
56,Normal,C,237.64,336.07,1.94,15,72.25,29.05,4.0,38.26,0
57,Harmonics,C,236.19,334.02,12.77,154,31.7,14.23,2.01,25.49,4
58,Transient,B,234.06,414.23,3.31,104,20.22,35.22,3.08,35.45,3
59,Swell,A,279.37,395.09,2.93,231,81.26,31.55,2.92,28.41,2
60,Harmonics,C,237.45,335.8,12.63,112,22.27,5.65,2.4,31.8,4
61,Swell,A,272.51,385.39,3.05,175,50.58,45.97,2.19,30.47,2
62,Normal,A,229.93,325.17,2.4,43,65.87,20.63,1.84,31.59,0
63,Swell,A,273.67,387.02,2.56,204,88.69,28.19,4.89,32.04,2
64,Swell,A,261.85,370.3,2.94,10,58.1,21.02,4.58,22.57,2
65,Sag,A,148.98,210.69,3.04,56,66.51,8.68,4.49,38.42,1
66,Harmonics,C,230.91,326.55,7.67,136,93.16,15.63,4.04,30.63,4
67,Sag,C,158.51,224.17,2.01,247,77.47,6.37,4.47,27.08,1
68,Swell,A,261.89,370.38,2.6,37,11.81,19.49,1.85,26.55,2
69,Transient,A,226.49,376.13,1.73,118,53.16,31.29,3.95,31.15,3
70,Normal,A,228.04,322.5,1.0,15,90.97,32.34,1.98,29.96,0
71,Harmonics,B,235.34,332.82,8.15,104,15.01,42.9,1.21,20.36,4
72,Harmonics,C,223.71,316.37,11.17,143,97.76,27.08,3.89,36.42,4
73,Sag,C,149.15,210.93,5.04,182,79.25,13.42,2.29,28.51,1
74,Normal,A,238.1,336.72,2.11,99,79.1,8.93,3.02,38.64,0
75,Harmonics,B,238.54,337.35,8.04,19,59.37,29.7,1.81,33.69,4
76,Transient,A,230.24,416.71,3.31,274,63.61,26.22,2.65,26.98,3
77,Normal,B,232.26,328.46,2.32,146,28.45,22.07,4.71,34.43,0
78,Transient,B,229.4,402.27,4.11,222,26.78,15.61,3.54,38.16,3
79,Normal,C,232.94,329.43,1.86,113,43.92,25.82,2.21,34.95,0
80,Normal,C,234.74,331.97,2.16,113,30.61,29.43,2.73,26.66,0
81,Swell,C,267.81,378.74,2.63,120,65.81,29.01,4.58,35.77,2
82,Normal,C,228.0,322.44,1.45,298,13.02,30.65,4.05,37.54,0
83,Normal,C,225.91,319.49,2.04,237,51.13,32.18,3.01,30.8,0
84,Harmonics,B,225.26,318.57,12.27,104,63.86,30.45,3.86,31.98,4
85,Transient,C,225.39,364.43,7.24,227,62.76,27.76,3.45,20.36,3
86,Transient,A,225.62,404.09,4.1,60,76.28,47.05,4.7,29.02,3
87,Harmonics,C,236.51,334.47,10.17,158,44.14,38.49,1.82,35.76,4
88,Sag,A,160.94,227.61,1.99,99,92.79,20.59,2.39,34.75,1
89,Normal,C,221.73,313.57,1.78,188,32.34,30.99,1.66,20.68,0
90,Normal,B,230.41,325.85,2.54,163,11.18,34.86,1.71,39.22,0
91,Normal,C,220.78,312.22,2.55,198,26.6,18.48,2.24,27.95,0
92,Swell,B,271.76,384.33,3.7,294,66.25,22.0,4.35,31.75,2
93,Normal,B,229.28,324.25,1.87,122,46.07,30.18,1.62,23.64,0
94,Harmonics,B,237.52,335.9,10.33,171,46.79,6.14,1.62,34.32,4
95,Harmonics,C,229.08,323.97,13.67,264,11.77,9.68,4.2,23.57,4
96,Normal,C,219.13,309.89,2.86,105,98.99,32.14,4.23,39.25,0
97,Transient,C,232.2,378.38,5.92,16,66.99,38.12,4.39,22.46,3
98,Swell,B,253.3,358.22,5.26,206,40.76,16.67,2.52,31.81,2
99,Transient,A,227.62,420.31,4.06,289,20.28,30.46,4.94,29.42,3
100,Normal,A,236.26,334.12,3.14,49,72.9,23.11,1.87,32.9,0
101,Transient,B,216.08,422.06,6.73,155,57.67,41.68,2.99,21.34,3
102,Harmonics,C,235.15,332.55,11.42,126,10.99,11.16,4.6,37.48,4
103,Sag,C,166.65,235.69,4.01,182,85.43,23.2,4.08,28.44,1
104,Sag,C,155.18,219.45,2.27,190,64.28,16.04,2.56,25.77,1
105,Transient,C,225.12,421.07,3.58,161,94.31,37.97,1.86,20.62,3
106,Transient,A,243.16,405.67,4.58,210,79.38,9.8,1.3,34.56,3
107,Normal,A,233.84,330.7,2.8,48,16.83,8.5,1.01,39.35,0
108,Sag,C,146.92,207.78,2.34,26,95.52,25.07,1.74,30.84,1
109,Swell,C,278.17,393.39,4.12,207,98.25,45.65,3.59,33.86,2
110,Normal,C,232.15,328.31,2.1,291,61.12,46.2,1.14,33.95,0
111,Normal,C,229.04,323.91,1.92,224,81.58,38.53,1.22,29.1,0
112,Swell,A,255.95,361.97,4.0,107,89.65,28.86,2.76,28.09,2
113,Normal,A,240.21,339.71,2.24,219,56.82,24.21,4.51,28.35,0
114,Swell,C,270.82,383.0,4.57,48,10.85,7.37,1.35,20.75,2
115,Transient,A,234.6,406.28,2.48,74,31.49,9.97,2.42,25.74,3
116,Transient,A,221.21,413.34,7.42,82,19.85,22.62,1.5,39.13,3
117,Harmonics,B,234.92,332.23,9.36,20,91.34,49.51,3.97,21.3,4
118,Transient,A,227.62,411.95,4.81,250,96.15,42.18,4.2,32.6,3
119,Normal,A,227.49,321.73,3.25,70,33.42,28.19,2.96,39.93,0
120,Swell,A,274.7,388.48,2.95,98,63.36,31.1,1.37,37.55,2
121,Swell,C,276.33,390.79,3.32,235,87.59,41.43,3.62,31.02,2
122,Swell,B,252.38,356.92,2.53,260,75.11,27.31,1.32,24.4,2
123,Harmonics,C,225.73,319.23,12.72,65,69.59,29.47,4.46,34.68,4
124,Swell,C,270.36,382.35,3.12,68,24.44,20.03,1.95,38.6,2
125,Transient,C,232.73,427.64,5.97,142,89.28,44.23,1.12,36.52,3
126,Sag,C,144.58,204.47,3.64,91,83.62,42.45,3.03,20.13,1
127,Harmonics,A,230.96,326.62,10.14,232,43.9,5.41,4.27,22.57,4
128,Swell,B,272.49,385.36,5.08,69,26.15,38.92,4.16,23.48,2
129,Transient,B,229.07,391.91,4.46,202,15.21,8.36,4.41,39.8,3
130,Harmonics,A,230.87,326.5,16.06,16,15.91,41.97,2.49,36.38,4
131,Swell,B,262.6,371.37,2.94,235,99.74,24.18,2.81,23.27,2
132,Harmonics,B,239.41,338.57,6.94,184,71.24,34.45,2.09,39.02,4
133,Transient,B,233.54,363.06,4.15,24,77.13,14.02,4.47,34.3,3
134,Sag,B,149.18,210.97,4.12,154,18.2,11.91,2.81,30.61,1
135,Swell,B,263.5,372.65,4.44,55,51.59,5.06,3.39,32.15,2
136,Transient,B,223.21,393.68,3.89,126,63.12,24.5,4.94,22.99,3
137,Harmonics,B,229.93,325.17,9.48,104,74.97,34.56,4.03,39.05,4
138,Normal,A,226.56,320.4,1.99,85,98.8,11.41,3.0,32.36,0
139,Transient,B,227.14,423.67,4.01,11,58.08,44.71,1.33,36.49,3
140,Sag,C,139.98,197.97,2.72,99,72.05,41.03,1.8,23.35,1
141,Normal,A,231.05,326.76,2.44,232,58.72,36.91,4.48,34.28,0
142,Transient,B,235.25,389.3,6.98,12,13.67,12.38,2.75,34.5,3
143,Transient,A,230.99,386.97,4.27,252,29.73,48.91,2.35,23.64,3
144,Harmonics,B,229.88,325.1,16.43,220,30.56,49.84,4.9,33.01,4
145,Sag,B,136.3,192.76,2.53,216,33.19,25.82,4.47,34.54,1
146,Harmonics,B,231.92,327.98,13.09,29,55.44,29.45,3.06,31.76,4
147,Sag,B,148.95,210.64,4.78,271,68.95,49.65,2.14,27.18,1
148,Swell,C,284.77,402.72,4.88,234,21.84,37.21,4.64,23.59,2
149,Transient,A,231.15,353.51,3.94,120,63.36,31.07,3.65,21.91,3
150,Normal,B,229.29,324.26,2.19,172,69.11,19.63,4.09,22.62,0
